"Document";"Document title";"Committee Code";"Dossier";"Dossier start date";"Dossier end date";"URL";"File"
"D00217/01";"Scfcah meeting of the section ""Animal Nutrition"", 17-18 April 2008";"C20403";"CMTD(2008)0087";"17/04/2008";"18/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=103&DS_ID=217&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=217&version=1&AttLang=en&db_number=1&docType=AGENDA"
"D00273/01";"IPA committee meeting 19-05-2008- Agenda";"C30500";"CMTD(2008)0107";"19/05/2008";"19/05/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=123&DS_ID=273&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=273&version=1&AttLang=en&db_number=1&docType=AGENDA"
"D00188/01";"Draft Agenda";"C33600";"CMTD(2008)0076";"15/04/2008";"15/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=92&DS_ID=188&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=188&version=1&AttLang=en&db_number=1&docType=AGENDA"
"D00161/02";"Agenda";"C31600";"CMTD(2008)0067";"25/04/2008";"25/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=83&DS_ID=161&Version=2";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=161&version=2&AttLang=en&db_number=1&docType=AGENDA"
"D00282/01";"Agenda de la 364ème réunion conjointe du Comité de Gestion ""Mécanismes des Échanges""";"C04400";"CMTD(2008)0113";"08/04/2008";"08/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=129&DS_ID=282&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=282&version=1&AttLang=en&db_number=1&docType=AGENDA"
"D00286/01";"draft Agenda for the   Meeting of the  Standing Committee for Agricultural Statistics  Luxembourg  22 and 23 May 2008  ";"C25300";"CMTD(2008)0114";"22/05/2008";"23/05/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=130&DS_ID=286&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=286&version=1&AttLang=en&db_number=1&docType=AGENDA"
"D00295/01";"FP7-ICTC meeting of 7 May 2008 - Draft agenda";"C32600";"CMTD(2008)0115";"07/05/2008";"07/05/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=131&DS_ID=295&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=295&version=1&AttLang=en&db_number=1&docType=AGENDA"
"D00305/01";"Agenda of the STANDING COMMITTEE ON THE FOOD CHAIN AND ANIMAL HEALTH meeting of 30/04/2008, Section General Food Law  ";"C20406";"CMTD(2008)0119";"30/04/2008";"30/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=135&DS_ID=305&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=305&version=1&AttLang=en&db_number=1&docType=AGENDA"
"D00196/01";"Convocation to the 11th meeting of the Management Committee for the Common Organisation of Agricultural Markets";"C35000";"CMTD(2008)0080";"18/04/2008";"18/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=96&DS_ID=196&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=196&version=1&AttLang=en&db_number=1&docType=AGENDA"
"D00197/01";"Draft Agenda of the 142nd meeting of ACOR-Forecasts";"C25500";"CMTD(2008)0083";"07/05/2008";"07/05/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=99&DS_ID=197&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=197&version=1&AttLang=en&db_number=1&docType=AGENDA"
"D00176/02";"9th ENPI Committee - Revised Draft Agenda of 16/04/2008";"C31300";"CMTD(2008)0074";"07/05/2008";"07/05/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=90&DS_ID=176&Version=2";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=176&version=2&AttLang=en&db_number=1&docType=AGENDA"
"D00263/01";"Agenda of the 13th Management Committee for the Common Organisation of the Agricultural Markets";"C35000";"CMTD(2008)0108";"24/04/2008";"24/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=124&DS_ID=263&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=263&version=1&AttLang=en&db_number=1&docType=AGENDA"
"D00303/01";"Agenda of the Standing committee on the food chain and animal health - Biological safety on the food chain section - 30 April 2008";"C20404";"CMTD(2008)0118";"30/04/2008";"30/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=134&DS_ID=303&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=303&version=1&AttLang=en&db_number=1&docType=AGENDA"
"D00269/01";"Draft agenda Management Committee 05/05/2008";"C31700";"CMTD(2008)0110";"05/05/2008";"05/05/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=126&DS_ID=269&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=269&version=1&AttLang=en&db_number=1&docType=AGENDA"
"D00319/01";"Draft Agenda - COMMITTEE FOR THE ADAPTATION TO SCIENTIFIC AND TECHNICAL PROGRESS OF EC-LEGISLATION ON WASTE DIRECTIVES 2002/95/EC AND 2002/96/EC ON ELECTRICAL AND ELECTRONIC EQUIPMENT - 10/04/2008  ";"C11700";"CMTD(2008)0123";"10/04/2008";"10/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=139&DS_ID=319&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=319&version=1&AttLang=en&db_number=1&docType=AGENDA"
"D00321/01";"Directors' meeting ""EU Maritime Transport package 2008""";"C09400";"CMTD(2008)0124";"10/04/2008";"10/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=140&DS_ID=321&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=321&version=1&AttLang=en&db_number=1&docType=AGENDA"
"D00322/01";"Agenda of the 366th joint meeting of the trade mechanisms management committee";"C04400";"CMTD(2008)0125";"06/05/2008";"06/05/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=141&DS_ID=322&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=322&version=1&AttLang=en&db_number=1&docType=AGENDA"
"D00323/01";"Convocation to the 15th meeting of the Management Committee for the Common Organisation of Agricultural Markets";"C35000";"CMTD(2008)0126";"06/05/2008";"06/05/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=142&DS_ID=323&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=323&version=1&AttLang=en&db_number=2&docType=AGENDA"
"D00330/01";"Agenda of the 14th Meeting of the Management Committee for the Common Organisation of Agricultural Markets";"C35000";"CMTD(2008)0127";"05/05/2008";"05/05/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=143&DS_ID=330&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=330&version=1&AttLang=en&db_number=1&docType=AGENDA"
