"Document";"Document title";"Committee Code";"Dossier";"Dossier start date";"Dossier end date";"URL";"File"
"D00452/01";"SUMMARY RECORD OF THE STANDING COMMITTEE ON THE FOOD CHAIN AND ANIMAL HEALTH HELD ON 30 APRIL 2008 IN BRUSSELS (Section Biological Safety of the Food Chain)";"C20404";"CMTD(2008)0118";"30/04/2008";"30/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=134&DS_ID=452&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=452&version=1&AttLang=en&db_number=3&docType=SUMMARY_RECORD"
"D00452/01";"Statement from Spain";"C20406";"CMTD(2008)0119";"30/04/2008";"30/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=135&DS_ID=452&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=452&version=1&AttLang=en&db_number=4&docType=SUMMARY_RECORD"
"D00452/01";"Statement from Spain";"C20404";"CMTD(2008)0118";"30/04/2008";"30/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=134&DS_ID=452&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=452&version=1&AttLang=en&db_number=4&docType=SUMMARY_RECORD"
"D00452/01";"List of participants";"C20406";"CMTD(2008)0119";"30/04/2008";"30/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=135&DS_ID=452&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=452&version=1&AttLang=en&db_number=5&docType=SUMMARY_RECORD"
"D00452/01";"List of participants";"C20404";"CMTD(2008)0118";"30/04/2008";"30/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=134&DS_ID=452&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=452&version=1&AttLang=en&db_number=5&docType=SUMMARY_RECORD"
"D00351/01";"SUMMARY REPORT TO THE EUROPEAN PARLIAMENT  3RD MEETING OF THE 'ENERGY SERVICES' FORMATION OF THE ENERGY DEMAND  MANAGEMENT COMMITTEE  Held on 9 April 2008 ";"C09300";"CMTD(2008)0089";"09/04/2008";"09/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=105&DS_ID=351&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=351&version=1&AttLang=en&db_number=1&docType=SUMMARY_RECORD"
"D00264/01";"Attendance list";"C02500";"CMTD(2008)0068";"03/04/2008";"03/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=84&DS_ID=264&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=264&version=1&AttLang=en&db_number=3&docType=SUMMARY_RECORD"
"D00265/01";"Attendance list";"C02900";"CMTD(2008)0069";"03/04/2008";"03/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=85&DS_ID=265&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=265&version=1&AttLang=en&db_number=3&docType=SUMMARY_RECORD"
"D00384/01";"summary record";"C25000";"CMTD(2008)0143";"24/04/2008";"24/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=159&DS_ID=384&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=384&version=1&AttLang=en&db_number=1&docType=SUMMARY_RECORD"
"D00384/01";"Attendance list";"C25000";"CMTD(2008)0143";"24/04/2008";"24/04/2008";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=search.documentdetail&Dos_ID=159&DS_ID=384&Version=1";"http://ec.europa.eu/transparency/regcomitology/index.cfm?do=Search.getPDF&ds_id=384&version=1&AttLang=en&db_number=2&docType=SUMMARY_RECORD"
